epoch,train_mos_rmse,train_mos_plcc,train_mos_srcc,train_quality_class_rmse,train_spatial_flag_f1,train_hallucination_flag_f1,train_lighting_flag_f1,train_rendering_flag_f1,train_physics_violation_flag_f1,train_object_flicker_flag_f1,train_motion_inconsistency_flag_f1,train_total_loss,val_mos_rmse,val_mos_plcc,val_mos_srcc,val_quality_class_rmse,val_spatial_flag_f1,val_hallucination_flag_f1,val_lighting_flag_f1,val_rendering_flag_f1,val_physics_violation_flag_f1,val_object_flicker_flag_f1,val_motion_inconsistency_flag_f1,val_total_loss
1,16.383844447708807,0.26142207,0.2770102606060221,0.8810746633996129,0.4284424379232505,0.3834166421640694,0.0021598272138228,0.3434400680079342,0.0,0.0646108663729809,0.0093896713615023,1.4309197646369247,15.73452434449978,0.37950754,0.3525365939060214,0.7928316721329104,0.3270911360799001,0.3762376237623762,0.0,0.3810741687979539,0.0,0.1016949152542373,0.0,1.4048111548423767
2,13.876477412016746,0.40870318,0.4039247717096487,0.7538590095227063,0.4985312631137222,0.43008356545961,0.0,0.4023109243697479,0.0,0.1719576719576719,0.0035523978685612,1.390919381717466,14.8336535358515,0.4971315,0.4702936510120039,0.7325040237133972,0.5544729849424269,0.4141689373297003,0.0,0.4662162162162162,0.0,0.119205298013245,0.0,1.3880783383846282
3,13.418794893599216,0.44038782,0.4307143385432247,0.7304691987877757,0.5228969134557192,0.4435688150858429,0.0,0.4365019011406844,0.0,0.2174462705436156,0.0011855364552459,1.373990292819041,13.46875566451447,0.5000017,0.4743697273779308,0.7285177113193777,0.5615942028985508,0.4430379746835443,0.0,0.4240196078431372,0.0,0.2127659574468085,0.0,1.3723486676216126
4,13.145191174927454,0.46643662,0.4614377779370432,0.7206633848900168,0.5395941106247513,0.4661408757138972,0.0,0.4623871614844533,0.0,0.2598187311178248,0.0082644628099173,1.3583413207612764,13.00773331901576,0.53523946,0.5211645385717554,0.7155138220901471,0.4441988950276243,0.4847112117780294,0.0,0.3994845360824742,0.0,0.1772151898734177,0.0,1.385980695962906
5,12.739235316732248,0.501342,0.492406440026055,0.7030299440344566,0.554858934169279,0.4829059829059829,0.0,0.4562097971301336,0.0,0.3358338141950375,0.0105882352941176,1.3451297885353324,12.508304126424996,0.55006623,0.5301667785504391,0.6891726823111389,0.5535880708294502,0.4565992865636147,0.0,0.4729281767955801,0.0,0.3143631436314363,0.0,1.3847264800071717
6,12.706956198863825,0.5056648,0.4985738788730122,0.7018334925225678,0.5590352071581405,0.4921186214266631,0.0,0.4777805057697029,0.0,0.3153669724770642,0.0070713022981732,1.338314799256431,12.598720885246086,0.57780725,0.5560618829929338,0.6846567227276943,0.5451127819548872,0.4235294117647059,0.0,0.428909952606635,0.0,0.2363636363636363,0.0,1.36852002620697
7,12.46379400057109,0.5252478,0.5193290251848353,0.6898532387241804,0.5647788983708301,0.4930332261521972,0.0021691973969631,0.5144508670520231,0.0,0.3452914798206278,0.0105757931844888,1.3236061685796872,12.454874602627982,0.58581185,0.5732423575945029,0.6909532086447008,0.5524156791248861,0.3912448700410397,0.0201005025125628,0.486784140969163,0.0,0.3418367346938775,0.0054054054054054,1.3894263753890992
8,12.214990530178229,0.5485439,0.5439421473556921,0.6791717940606969,0.579682047305157,0.503828888302086,0.0043336944745395,0.4842721287490856,0.003030303030303,0.3836206896551724,0.0105448154657293,1.3157331073979366,12.10810351187571,0.5868301,0.5726258749175935,0.6671357789193616,0.5259042033235581,0.4201030927835051,0.0100502512562814,0.4060913705583756,0.0,0.3689320388349514,0.0,1.374931851387024
9,12.222887202196429,0.544661,0.5390964283207409,0.6798142720527556,0.5775442693130959,0.5109296813273637,0.0,0.501454898157129,0.0,0.390139335476956,0.0355912743972445,1.3057100601098142,12.086939271467712,0.5910151,0.5633276852093836,0.6739260616172005,0.5493482309124768,0.4466257668711656,0.0101010101010101,0.4078624078624078,0.0135135135135135,0.2777777777777778,0.0654911838790932,1.3824598195552826
10,11.937355559908228,0.5719778,0.5603209983873856,0.667382903597242,0.5842740365901129,0.5302325581395348,0.0129032258064516,0.520332936979786,0.0090361445783132,0.4129301355578728,0.0208937899013348,1.283124816611946,11.845833064260535,0.5986314,0.5757731934728628,0.6616388635254962,0.4863157894736842,0.422976501305483,0.0100502512562814,0.434584755403868,0.0,0.4458874458874459,0.0467532467532467,1.403039032459259
11,11.982628646596146,0.56745446,0.5607649759291756,0.6674902468050942,0.594216960993596,0.5407792207792208,0.012847965738758,0.5151877541258072,0.0149700598802395,0.4387701928087545,0.0368027602070155,1.2839406627529073,12.30811770144156,0.58910424,0.5581016972868975,0.6750633748644562,0.580301685891748,0.4466019417475728,0.0201005025125628,0.4782122905027933,0.0,0.3375959079283887,0.0693069306930693,1.3907601470947266
12,11.924900935819196,0.57278687,0.5661319481463273,0.6624535085451736,0.5989984591679507,0.535593220338983,0.0149253731343283,0.5370940981275184,0.015015015015015,0.4493122771268467,0.0800438596491228,1.2681040542510116,11.85984525891589,0.6004246,0.5827010688886234,0.6644794052999877,0.5342465753424658,0.4507389162561576,0.0100502512562814,0.3817951959544879,0.0259740259740259,0.3236074270557029,0.1535269709543568,1.4262745099067689
