epoch,train_mos_rmse,train_mos_plcc,train_mos_srcc,train_quality_class_rmse,train_spatial_flag_f1,train_hallucination_flag_f1,train_lighting_flag_f1,train_rendering_flag_f1,train_physics_violation_flag_f1,train_object_flicker_flag_f1,train_motion_inconsistency_flag_f1,train_total_loss,val_mos_rmse,val_mos_plcc,val_mos_srcc,val_quality_class_rmse,val_spatial_flag_f1,val_hallucination_flag_f1,val_lighting_flag_f1,val_rendering_flag_f1,val_physics_violation_flag_f1,val_object_flicker_flag_f1,val_motion_inconsistency_flag_f1,val_total_loss
1,15.402722184990802,0.2843543,0.2884051111736138,0.8427326285338047,0.40707964601769914,0.3151553582752061,0.006342494714587738,0.3257443082311734,0.0029895366218236174,0.05760709010339734,0.00819672131147541,1.4329633559411836,14.39171179562053,0.5039407,0.4890178283166849,0.8163139254554129,0.5150375939849624,0.3988995873452545,0.0,0.18688524590163935,0.0,0.4043956043956044,0.0,1.40376607131958
2,13.400495241037852,0.43747845,0.433649613370257,0.7448336760582103,0.49611426170972484,0.4182381086405854,0.0,0.3900728351766927,0.0,0.20905035054174634,0.0011855364552459987,1.3865288104957822,13.449186982608431,0.50641716,0.4828902070424783,0.7545054925095518,0.501953125,0.4548919949174079,0.0,0.2753403933434191,0.0,0.2452316076294278,0.021505376344086023,1.3984443702697753
3,12.924914149104385,0.4789398,0.4675411336019099,0.7264855046647569,0.5028712059064807,0.4404332129963899,0.0,0.4292836525846235,0.0,0.24212476837554045,0.0,1.370586563291517,13.064102585604092,0.5460336,0.5284551000068265,0.7345861983464268,0.32459425717852686,0.4134228187919463,0.0,0.4354066985645933,0.0,0.28254847645429365,0.0,1.4147333869934082
4,12.584250376718723,0.5110311,0.501926463504429,0.7082756009603471,0.5469812075169932,0.4723809523809524,0.0,0.45699873896595206,0.0,0.2963393375944218,0.0035545023696682463,1.3480808231372572,12.796214998433436,0.52184784,0.5015761672923233,0.7187992576637744,0.4444444444444444,0.45185185185185184,0.0,0.3581267217630854,0.0,0.2826666666666667,0.0,1.3998680322170258
5,12.402921984551979,0.52825874,0.521038000352741,0.6970055573308935,0.5454185632297645,0.4923239809422975,0.0,0.46956087824351295,0.0,0.3184931506849315,0.008254716981132075,1.3339509945586452,12.758454156590457,0.56260926,0.5342456193728145,0.7198075516783963,0.4909090909090909,0.46002460024600245,0.0,0.4127708095781072,0.0,0.41002277904328016,0.03225806451612903,1.403167450428009
6,12.296984816258377,0.53627735,0.5279543920010817,0.6892529810376433,0.5520523497917906,0.4964276263561789,0.0,0.49263261296660116,0.0,0.3377630121816168,0.021015761821366025,1.3228004642252653,12.425968517725916,0.54023945,0.5259238587933731,0.7009895321381423,0.4365256124721604,0.4651711924439197,0.0,0.447520184544406,0.0,0.3465346534653465,0.0,1.4130368778705598
7,12.218941065082241,0.5431592,0.5355535208739833,0.6885752072920281,0.5621384400558548,0.5184802274489532,0.0,0.5068592057761733,0.0030303030303030303,0.332955832389581,0.007050528789659225,1.3037426181866005,12.542043551403914,0.5693689,0.5516892684504809,0.6962250496864267,0.49455984174085066,0.47719298245614034,0.0,0.3492063492063492,0.0,0.30727762803234504,0.0055248618784530384,1.4321732096672057
8,11.91335423099654,0.5722416,0.5618820830953732,0.6712997990610614,0.5753208292201382,0.5326142783769903,0.0021691973969631237,0.5288299155609167,0.0,0.39807897545357523,0.018626309662398137,1.2850820366964129,12.130237824450697,0.5893233,0.5652874057189403,0.69502115039066,0.5315739868049011,0.5272145144076841,0.0,0.4687168610816543,0.0,0.4164859002169197,0.042440318302387266,1.4330818877220153
9,12.046755937316952,0.5583201,0.5485450331980054,0.6799378427328779,0.5912566163497354,0.5554445554445554,0.0,0.5365970722342213,0.006015037593984963,0.38428417653390745,0.039750141964792735,1.2677017973790243,12.317202217183267,0.59260124,0.574334417447589,0.6898949263912941,0.5575221238938053,0.48322147651006714,0.010101010101010102,0.4358974358974359,0.013605442176870748,0.3791469194312796,0.06598984771573604,1.4687401871681214
10,11.724331353160867,0.58945316,0.579902382800016,0.6589828536418003,0.5946578280366543,0.5550239234449761,0.023529411764705882,0.5483412322274882,0.03254437869822485,0.4442159383033419,0.04284103720405862,1.253577703217086,12.132672900436424,0.59558195,0.5804711338723997,0.6861956099894273,0.43617021276595747,0.4829106945975744,0.01,0.43205574912891986,0.013513513513513514,0.36446469248291574,0.0784313725490196,1.4644151246547699
11,11.59539766762281,0.6002539,0.5948283001454201,0.6557029533045123,0.5998044965786902,0.563894523326572,0.019230769230769232,0.5530284893464209,0.04129793510324484,0.42321520287621983,0.11246684350132626,1.2372708583880043,11.98542854621909,0.5886183,0.5759813063765369,0.6749571919112385,0.4990403071017274,0.4505363528009535,0.009950248756218905,0.4519774011299435,0.013422818791946308,0.38004750593824227,0.14385150812064965,1.4862786264419556
12,11.664414397320677,0.5941024,0.5853788806590697,0.6563743972949906,0.6128585558852622,0.5861297539149888,0.03590285110876452,0.5828437132784959,0.08,0.44016649323621226,0.14285714285714285,1.2091830987259617,12.673579956202193,0.58991724,0.5755753117247259,0.7163725800334397,0.5358764759309719,0.46366782006920415,0.039603960396039604,0.47149122807017546,0.0379746835443038,0.42,0.21370967741935484,1.5199586462974548
