epoch,train_mos_rmse,train_mos_plcc,train_mos_srcc,train_quality_class_rmse,train_spatial_flag_f1,train_hallucination_flag_f1,train_lighting_flag_f1,train_rendering_flag_f1,train_physics_violation_flag_f1,train_object_flicker_flag_f1,train_motion_inconsistency_flag_f1,train_total_loss,val_mos_rmse,val_mos_plcc,val_mos_srcc,val_quality_class_rmse,val_spatial_flag_f1,val_hallucination_flag_f1,val_lighting_flag_f1,val_rendering_flag_f1,val_physics_violation_flag_f1,val_object_flicker_flag_f1,val_motion_inconsistency_flag_f1,val_total_loss
1,15.164101240451544,0.29500246,0.298631594177078,0.8592140046949611,0.4182109357126515,0.3445945945945945,0.0,0.3568464730290456,0.0,0.0679190751445086,0.0035273368606701,1.4262789493461825,13.601391418187411,0.47312257,0.4637678840089571,0.7518024640438965,0.5340599455040872,0.3524229074889868,0.0,0.3660130718954248,0.0,0.3375959079283887,0.0,1.4016483235359192
2,13.4531709357883,0.4286452,0.4230440261177692,0.7557979430633762,0.5170373393185064,0.4306029579067121,0.0,0.4034718569174119,0.0,0.1557922769640479,0.0011855364552459,1.3832644074388474,12.599700657755289,0.52267635,0.5072639039897832,0.7127542025530179,0.5306893295561851,0.4135240572171652,0.0,0.4104575163398692,0.0,0.2492753623188406,0.0,1.3743067076206208
3,13.042302482795527,0.46701872,0.4590628774500737,0.7384313198739862,0.5332272184639872,0.4324171153301218,0.0,0.4649298597194389,0.0,0.219298245614035,0.0023724792408066,1.366863118590049,13.310181035187057,0.4836864,0.466376307779777,0.755526013260367,0.5155642023346303,0.4081081081081081,0.0,0.3929024081115336,0.0,0.4611973392461197,0.0,1.391031944513321
4,12.68726908656863,0.50211364,0.4957076354032307,0.7155459347820883,0.5483996877439501,0.4602350368953266,0.0,0.4598558289833457,0.0,0.2767220902612826,0.0058962264150943,1.351203106484323,12.598471993937649,0.5426276,0.5245910316725981,0.7123300098617751,0.6,0.3628318584070796,0.0,0.4780157835400225,0.0,0.2485549132947976,0.0,1.3882024204730987
5,12.56203418076822,0.5119562,0.5076487228686468,0.7127863977612546,0.5667841754798276,0.4783783783783784,0.0,0.4679802955665024,0.0,0.3251287922152261,0.0105944673337257,1.3366796541479808,12.60251662537958,0.5408032,0.5296284686574183,0.7215993214460257,0.576271186440678,0.4502487562189055,0.0,0.4774774774774775,0.0,0.3410852713178294,0.0,1.373426030397415
6,12.355930007395488,0.53142977,0.5237553057135332,0.6973159515426731,0.5706542779713512,0.4946638207043756,0.0021621621621621,0.4883040935672514,0.0,0.3572216097023153,0.0151162790697674,1.3306624973208785,11.950124087148309,0.59526956,0.5714554396130722,0.6824425076803072,0.4928716904276985,0.4064602960969044,0.0,0.4558139534883721,0.0,0.3618581907090464,0.0,1.384155652999878
7,12.205135477791716,0.54564065,0.5348169261313496,0.6879122321804039,0.5724863600935308,0.5043941411451398,0.0064794816414686,0.4879356568364611,0.0,0.3367117117117117,0.0186588921282798,1.3140284851014512,12.589540142359995,0.5618955,0.5407226323863824,0.7292634127785637,0.54510556621881,0.4217506631299735,0.0100502512562814,0.4673539518900343,0.0,0.3564356435643564,0.1062801932367149,1.382116724729538
8,12.00889067317191,0.5655925,0.5540312882309398,0.6819432851863969,0.5835095137420718,0.5026427061310782,0.0,0.5187319884726225,0.0,0.3779697624190065,0.0333716915995397,1.304613251577724,11.895071955074767,0.58600116,0.5628263763659186,0.6864546935390672,0.4989775051124744,0.4547677261613692,0.02,0.4167694204685573,0.0,0.4347826086956521,0.0505050505050505,1.4049852252006532
9,11.91218671196612,0.57407874,0.5635891308940912,0.6756553532630754,0.5890042291426374,0.5082785808147174,0.0150214592274678,0.4949963387844764,0.0030257186081694,0.4070138150903294,0.0375426621160409,1.2969728177652964,12.166003553182724,0.60596603,0.5811991370335567,0.7107713945451448,0.516320474777448,0.4652862362971985,0.0101010101010101,0.4700665188470067,0.0136054421768707,0.3419689119170984,0.0264550264550264,1.390936762571335
10,11.822244812729492,0.5817345380783081,0.5718447595540331,0.6706456981284057,0.6005741626794259,0.5367512424797279,0.008648648648648649,0.5208833413346136,0.006006006006006006,0.4132231404958678,0.07226236798221233,1.280758422756277,11.84774447193497,0.6058486104011536,0.5825186609854552,0.6837671550432786,0.49390243902439024,0.412532637075718,0.03980099502487562,0.45274212368728123,0.025974025974025976,0.24571428571428572,0.1487964989059081,1.4043422584533691
