epoch,train_mos_rmse,train_mos_plcc,train_mos_srcc,train_quality_class_rmse,train_spatial_flag_f1,train_hallucination_flag_f1,train_lighting_flag_f1,train_rendering_flag_f1,train_physics_violation_flag_f1,train_object_flicker_flag_f1,train_motion_inconsistency_flag_f1,train_total_loss,val_mos_rmse,val_mos_plcc,val_mos_srcc,val_quality_class_rmse,val_spatial_flag_f1,val_hallucination_flag_f1,val_lighting_flag_f1,val_rendering_flag_f1,val_physics_violation_flag_f1,val_object_flicker_flag_f1,val_motion_inconsistency_flag_f1,val_total_loss
1,4100.026341378796,-0.0040876837,0.00566038212324686,5696.76048294116,0.4972059779077323,0.4020967196482922,0.18819088703154488,0.466100552635126,0.15022860875244937,0.2593116454502593,0.28785046728971964,32260236.728938513,50.75237159637222,0.008698421,-0.004292268106319386,1387.731872517166,0.511842865395725,0.41580756013745707,0.16816816816816818,0.48145896656534953,0.15855354659248957,0.288268156424581,0.3059548254620123,943548.6309000651
2,123905.04131793832,0.0047595575,0.01297398310281963,10944.71781271678,0.5325759332251333,0.44839449541284404,0.20875600640683395,0.4868306079141181,0.14509427932246724,0.26652078774617066,0.29541446208112876,15050527642.306614,51.85180910461924,0.0181387,0.005310205552405949,117.78865806498519,0.5026611472501479,0.47953216374269003,0.16161616161616163,0.4794433902593295,0.15804597701149425,0.28143021914648214,0.3086816720257235,12889.988525390625
3,87797.64370414504,0.005373066,0.008310845859611837,8345.200776494235,0.5292064230858738,0.4551120541042302,0.1838955386289445,0.46922367207064714,0.1492445266728338,0.2596322241681261,0.3107357190486775,7561560298.131914,52.06622792025316,0.024166208,0.02136496200077289,123.07834220654948,0.5134818288393904,0.48462021343377276,0.1533442088091354,0.48627450980392156,0.16901408450704225,0.271264367816092,0.3153526970954357,12893.674682617188
4,71409.8408904543,-0.022690792,-0.009119869565619984,7005.224621666317,0.535839364931123,0.4649780304988369,0.19416956405456004,0.47439420434673996,0.13492575855390573,0.2513709146742707,0.2908197453651999,5003858378.895674,51.94194193550382,0.030722683,0.024299801632455428,108.30323550251165,0.5070588235294118,0.4779951100244499,0.18012422360248448,0.4917632702867602,0.16573033707865167,0.27232142857142855,0.3037716615698267,10838.361938476562
5,61604.51931473859,0.0072776326,0.01551321526392651,6141.858676329178,0.5337222870478413,0.45767944430151786,0.20971595434032386,0.48021042084168336,0.1424446583253128,0.25917735515258733,0.3213969938107869,3724536727.442025,51.869923979815844,0.03204808,0.022879688313810275,96.2426285732445,0.5144202472042377,0.4724310776942356,0.17378048780487804,0.4933008526187576,0.17427385892116182,0.2717149220489978,0.30785123966942146,9363.024780273438
6,54760.52534444862,-0.002332583,0.016831114682205637,5526.008324278928,0.530621785881253,0.44991398703189095,0.20530322919401417,0.4758084733015793,0.1457670273711012,0.2623599208965063,0.3046065682168834,2943336701.6006904,51.87231732521211,0.03288115,0.025230144948539524,87.47121736427074,0.5138154027042916,0.47073631214600375,0.17804154302670624,0.4948328267477204,0.17307692307692307,0.27363737486095663,0.3019648397104447,8382.411702473959
7,49800.16642542472,0.0051993965,0.014866660079564683,5365.930674170138,0.5312275664034458,0.4363322793906295,0.20922915574200315,0.48145835934573605,0.13463353255740798,0.2608311229000884,0.3088528954958953,2436038105.6631207,52.123255272808656,0.024006162,0.019154200042548385,550.0613602135675,0.46111111111111114,0.39722463139635733,0.17902097902097902,0.49280575539568344,0.16597510373443983,0.26125137211855104,0.3070539419087137,152407.5537516276
8,46389.8968310989,-0.018254247,-0.002797196095861885,6587.423775650083,0.45401482883735605,0.38921412098634023,0.19837313041196536,0.48684374610300535,0.12645161290322582,0.2579798863139484,0.30602354027232864,2122783965.2151752,52.164214022731855,0.023384359,0.024554623406840736,510.8748011988847,0.42258064516129035,0.3912280701754386,0.1673758865248227,0.4930176077717061,0.16736401673640167,0.2678375411635565,0.3115264797507788,131980.63680013022
9,43099.26625825549,-0.003395103,0.002806849453455936,6147.553985122863,0.4531898539584935,0.37205987170349253,0.1913499344692005,0.4787712287712288,0.1585960350991225,0.26094609460946094,0.292772186642269,1832440380.5826678,52.153137077564665,0.023942951,0.024762601241401727,478.15919812338655,0.4337899543378995,0.3890845070422535,0.1659634317862166,0.4975728155339806,0.1589958158995816,0.25905598243688255,0.3073727933541018,116068.53324381511
10,40353.256126364824,0.0020506603,0.01481277995113724,5778.407912219421,0.4635318095792692,0.3899303695768613,0.1976202793585101,0.4821026282853567,0.15205435134260756,0.26889661164205036,0.3086253369272237,1606519221.2028024,52.09460997715479,0.026008587,0.02249256916190224,450.4141150097319,0.4540229885057471,0.39436619718309857,0.16620498614958448,0.4890776699029126,0.15680880330123798,0.264026402640264,0.3105590062111801,103389.41556803386
